iShares Core S&P 500 ETF
Fund Holdings as of,"Oct 16, 2025"
Inception Date,"May 15, 2000"
Shares Outstanding,"1,048,850,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"SYK","STRYKER CORP","Health Care","Equity","1,561,132,135.50","0.22","1,561,132,135.50","4,227,846.00","369.25","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CEG","CONSTELLATION ENERGY CORP","Utilities","Equity","1,521,963,032.12","0.22","1,521,963,032.12","3,838,204.00","396.53","United States","NASDAQ","USD","1.00","USD","-"
"MDT","MEDTRONIC PLC","Health Care","Equity","1,496,130,989.76","0.21","1,496,130,989.76","15,742,119.00","95.04","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CRWD","CROWDSTRIKE HOLDINGS INC CLASS A","Information Technology","Equity","1,476,705,924.12","0.21","1,476,705,924.12","3,062,244.00","482.23","United States","NASDAQ","USD","1.00","USD","-"
"ADI","ANALOG DEVICES INC","Information Technology","Equity","1,473,157,055.72","0.21","1,473,157,055.72","6,097,252.00","241.61","United States","NASDAQ","USD","1.00","USD","-"
"BX","BLACKSTONE INC","Financials","Equity","1,430,600,331.44","0.21","1,430,600,331.44","9,056,152.00","157.97","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DE","DEERE","Industrials","Equity","1,414,914,314.44","0.20","1,414,914,314.44","3,095,009.00","457.16","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WELL","WELLTOWER INC","Real Estate","Equity","1,414,054,494.00","0.20","1,414,054,494.00","8,217,425.00","172.08","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ADP","AUTOMATIC DATA PROCESSING INC","Industrials","Equity","1,394,081,202.88","0.20","1,394,081,202.88","4,976,018.00","280.16","United States","NASDAQ","USD","1.00","USD","-"
"PLD","PROLOGIS REIT INC","Real Estate","Equity","1,381,649,770.41","0.20","1,381,649,770.41","11,402,573.00","121.17","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TMUS","T MOBILE US INC","Communication","Equity","1,346,237,777.15","0.19","1,346,237,777.15","5,944,967.00","226.45","United States","NASDAQ","USD","1.00","USD","-"
"COP","CONOCOPHILLIPS","Energy","Equity","1,333,627,084.11","0.19","1,333,627,084.11","15,344,921.00","86.91","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SO","SOUTHERN","Utilities","Equity","1,330,247,885.37","0.19","1,330,247,885.37","13,514,659.00","98.43","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MO","ALTRIA GROUP INC","Consumer Staples","Equity","1,326,262,525.56","0.19","1,326,262,525.56","20,639,006.00","64.26","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NEM","NEWMONT","Materials","Equity","1,326,149,817.47","0.19","1,326,149,817.47","13,494,961.00","98.27","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CMCSA","COMCAST CORP CLASS A","Communication","Equity","1,323,894,829.18","0.19","1,323,894,829.18","45,245,893.00","29.26","United States","NASDAQ","USD","1.00","USD","-"
"VRTX","VERTEX PHARMACEUTICALS INC","Health Care","Equity","1,287,031,197.19","0.18","1,287,031,197.19","3,149,779.00","408.61","United States","NASDAQ","USD","1.00","USD","-"
"CVS","CVS HEALTH CORP","Health Care","Equity","1,268,188,310.61","0.18","1,268,188,310.61","15,585,453.00","81.37","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HOOD","ROBINHOOD MARKETS INC CLASS A","Financials","Equity","1,249,788,696.40","0.18","1,249,788,696.40","9,508,435.00","131.44","United States","NASDAQ","USD","1.00","USD","-"
"LMT","LOCKHEED MARTIN CORP","Industrials","Equity","1,244,823,903.50","0.18","1,244,823,903.50","2,523,718.00","493.25","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CB","CHUBB LTD","Financials","Equity","1,221,832,980.87","0.18","1,221,832,980.87","4,555,169.00","268.23","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DUK","DUKE ENERGY CORP","Utilities","Equity","1,217,235,273.80","0.17","1,217,235,273.80","9,554,437.00","127.40","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DASH","DOORDASH INC CLASS A","Consumer Discretionary","Equity","1,212,845,027.04","0.17","1,212,845,027.04","4,548,112.00","266.67","United States","NASDAQ","USD","1.00","USD","-"
"MCK","MCKESSON CORP","Health Care","Equity","1,185,138,295.92","0.17","1,185,138,295.92","1,528,343.00","775.44","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SBUX","STARBUCKS CORP","Consumer Discretionary","Equity","1,177,860,137.78","0.17","1,177,860,137.78","13,965,617.00","84.34","United States","NASDAQ","USD","1.00","USD","-"
"CME","CME GROUP INC CLASS A","Financials","Equity","1,162,250,424.52","0.17","1,162,250,424.52","4,427,452.00","262.51","United States","NASDAQ","USD","1.00","USD","-"
"PH","PARKER-HANNIFIN CORP","Industrials","Equity","1,140,111,864.96","0.16","1,140,111,864.96","1,570,056.00","726.16","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TT","TRANE TECHNOLOGIES PLC","Industrials","Equity","1,136,872,400.64","0.16","1,136,872,400.64","2,733,392.00","415.92","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MMC","MARSH & MCLENNAN INC","Financials","Equity","1,126,355,796.72","0.16","1,126,355,796.72","6,040,089.00","186.48","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMT","AMERICAN TOWER REIT CORP","Real Estate","Equity","1,101,441,897.32","0.16","1,101,441,897.32","5,752,556.00","191.47","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CDNS","CADENCE DESIGN SYSTEMS INC","Information Technology","Equity","1,085,673,305.00","0.16","1,085,673,305.00","3,348,260.00","324.25","United States","NASDAQ","USD","1.00","USD","-"
"BMY","BRISTOL MYERS SQUIBB","Health Care","Equity","1,085,048,826.93","0.16","1,085,048,826.93","25,006,887.00","43.39","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ICE","INTERCONTINENTAL EXCHANGE INC","Financials","Equity","1,078,486,103.52","0.15","1,078,486,103.52","7,032,382.00","153.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","1,065,820,788.99","0.15","1,065,820,788.99","1,065,820,789.00","1.00","United States","-","USD","1.00","USD","-"
"ORLY","OREILLY AUTOMOTIVE INC","Consumer Discretionary","Equity","1,054,652,229.35","0.15","1,054,652,229.35","10,424,555.00","101.17","United States","NASDAQ","USD","1.00","USD","Jan 01, 1970"
"GD","GENERAL DYNAMICS CORP","Industrials","Equity","1,025,492,824.72","0.15","1,025,492,824.72","3,102,008.00","330.59","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SNPS","SYNOPSYS INC","Information Technology","Equity","1,000,558,752.80","0.14","1,000,558,752.80","2,272,964.00","440.20","United States","NASDAQ","USD","1.00","USD","-"
"MMM","3M","Industrials","Equity","990,806,145.42","0.14","990,806,145.42","6,543,862.00","151.41","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KKR","KKR AND CO INC","Financials","Equity","990,541,646.64","0.14","990,541,646.64","8,428,707.00","117.52","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NOC","NORTHROP GRUMMAN CORP","Industrials","Equity","990,582,941.34","0.14","990,582,941.34","1,653,783.00","598.98","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MDLZ","MONDELEZ INTERNATIONAL INC CLASS A","Consumer Staples","Equity","979,279,039.20","0.14","979,279,039.20","15,897,387.00","61.60","United States","NASDAQ","USD","1.00","USD","-"
"EQIX","EQUINIX REIT INC","Real Estate","Equity","976,914,590.89","0.14","976,914,590.89","1,201,957.00","812.77","United States","NASDAQ","USD","1.00","USD","-"
"NKE","NIKE INC CLASS B","Consumer Discretionary","Equity","975,597,375.24","0.14","975,597,375.24","14,596,011.00","66.84","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WM","WASTE MANAGEMENT INC","Industrials","Equity","971,132,192.03","0.14","971,132,192.03","4,553,107.00","213.29","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ELV","ELEVANCE HEALTH INC","Health Care","Equity","963,289,411.56","0.14","963,289,411.56","2,766,642.00","348.18","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CI","CIGNA","Health Care","Equity","954,426,679.96","0.14","954,426,679.96","3,279,028.00","291.07","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HWM","HOWMET AEROSPACE INC","Industrials","Equity","949,317,051.52","0.14","949,317,051.52","4,952,614.00","191.68","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SHW","SHERWIN WILLIAMS","Materials","Equity","944,095,860.70","0.14","944,095,860.70","2,848,295.00","331.46","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WMB","WILLIAMS INC","Energy","Equity","938,132,024.83","0.13","938,132,024.83","15,002,911.00","62.53","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RCL","ROYAL CARIBBEAN GROUP LTD","Consumer Discretionary","Equity","926,465,486.83","0.13","926,465,486.83","3,103,633.00","298.51","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BK","BANK OF NEW YORK MELLON CORP","Financials","Equity","924,666,688.96","0.13","924,666,688.96","8,664,418.00","106.72","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"COIN","COINBASE GLOBAL INC CLASS A","Financials","Equity","917,426,574.00","0.13","917,426,574.00","2,777,976.00","330.25","United States","NASDAQ","USD","1.00","USD","-"
"AON","AON PLC CLASS A","Financials","Equity","908,859,000.96","0.13","908,859,000.96","2,648,808.00","343.12","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MSI","MOTOROLA SOLUTIONS INC","Information Technology","Equity","895,135,447.01","0.13","895,135,447.01","2,047,381.00","437.21","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EMR","EMERSON ELECTRIC","Industrials","Equity","891,264,683.25","0.13","891,264,683.25","6,914,925.00","128.89","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MCO","MOODYS CORP","Financials","Equity","887,953,999.20","0.13","887,953,999.20","1,895,070.00","468.56","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AJG","ARTHUR J GALLAGHER","Financials","Equity","882,382,807.35","0.13","882,382,807.35","3,149,455.00","280.17","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JCI","JOHNSON CONTROLS INTERNATIONAL PLC","Industrials","Equity","879,263,600.13","0.13","879,263,600.13","8,039,349.00","109.37","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"USB","US BANCORP","Financials","Equity","872,817,409.20","0.13","872,817,409.20","19,119,768.00","45.65","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TDG","TRANSDIGM GROUP INC","Industrials","Equity","864,977,214.26","0.12","864,977,214.26","692,303.00","1,249.42","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
