Holdings details

S&P 500 ETF (VOO)


Equity,as of 09/30/2025

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SUB-INDUSTRY,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,2138158,Sempra,SRE,0.10%,Multi-Utilities,US,---,"$1,446,669,826.36","16,077,682"
,2210614,Marriott International Inc/MD,MAR,0.10%,"Hotels, Resorts & Cruise Lines",US,---,"$1,445,669,885.00","5,550,875"
,B3K3L40,Marathon Petroleum Corp,MPC,0.10%,Oil & Gas Refining & Marketing,US,---,"$1,443,821,122.20","7,491,030"
,2240202,Cummins Inc,CMI,0.10%,Construction Machinery & Heavy Transportation Equipment,US,---,"$1,434,264,194.61","3,395,753"
,B665KZ5,General Motors Co,GM,0.10%,Automobile Manufacturers,US,---,"$1,430,422,901.18","23,461,094"
,B505PN7,NXP Semiconductors NV,NXPI,0.10%,Semiconductors,US,---,"$1,414,803,368.55","6,212,635"
,2730190,Regeneron Pharmaceuticals Inc,REGN,0.10%,Biotechnology,US,---,"$1,411,916,759.27","2,511,101"
,BK9DTN5,L3Harris Technologies Inc,LHX,0.10%,Aerospace & Defense,US,---,"$1,408,303,537.90","4,611,190"
,2019952,Allstate Corp/The,ALL,0.10%,Property & Casualty Insurance,US,---,"$1,393,692,828.30","6,492,862"
,BDT5S35,Axon Enterprise Inc,AXON,0.10%,Aerospace & Defense,US,---,"$1,389,014,466.84","1,935,531"
,2352118,Freeport-McMoRan Inc,FCX,0.10%,Copper,US,---,"$1,387,600,893.82","35,379,931"
,2332262,Fastenal Co,FAST,0.10%,Trading Companies & Distributors,US,---,"$1,386,875,425.76","28,280,494"
,2724193,Realty Income Corp,O,0.10%,Retail REITs,US,---,"$1,369,754,383.19","22,532,561"
,B03GQS4,Digital Realty Trust Inc,DLR,0.10%,Data Center REITs,US,---,"$1,365,959,801.76","7,901,202"
