As-Of-Date,Symbol,Quantity,Percent of Assets,Name,BBG FIGI,Country,Currency,Exchange,Exchange (fx) Rate,Market Currency,Sector
2025-10-17,CPF,767550.0000000000,0.0306636561,CENTRAL PACIFIC FINANCIAL CORP,BBG000BG4NC3,US,USD,XNYS,1.0000000000,USD,Financials
2025-10-17,USD,19054586.9000000000,0.0278748156,US DOLLAR,,US,USD,OTC,1.0000000000,USD,
2025-10-17,ETD,666426.0000000000,0.0263919869,ETHAN ALLEN INTERIORS INC,BBG000BBVHG3,US,USD,XNYS,1.0000000000,USD,Consumer Discretionary
2025-10-17,THFF,341433.0000000000,0.0255546401,FIRST FINANCIAL CORPORATION CORP,BBG000CDHD46,US,USD,XNGS,1.0000000000,USD,Financials
2025-10-17,OXM,398318.0000000000,0.0220145517,OXFORD INDUSTRIES INC,BBG000BQPST9,US,USD,XNYS,1.0000000000,USD,Consumer Discretionary
2025-10-17,KFRC,473643.0000000000,0.0189430229,KFORCE INC,BBG000LK0LM0,US,USD,XNYS,1.0000000000,USD,Industrials
2025-10-17,EBF,742425.0000000000,0.0187272295,ENNIS INC,BBG000BHK195,US,USD,XNYS,1.0000000000,USD,Industrials
2025-10-17,FAZ5,8500.0000000000,-0.0008185223,S&P MID 400 EMINI DEC 25,BBG01PSLMYH9,US,USD,OTC,1.0000000000,USD,
2025-10-17,DMZ5,3415.0000000000,-0.0029112182,DJIA MINI e-CBOT DEC 25,BBG01R98QC89,US,USD,OTC,1.0000000000,USD,


"Holdings may include collateral held by the fund for securities on loan. In addition, certain securities may be designated as collateral for transactions such as open futures contracts or delayed-delivery securities."
"Any fund holdings shown should not be considered a recommendation of any security by the investment adviser and are subject to change."
"Charles Schwab Investment Management believes this information to be accurate, and is not responsible for any errors. Charles Schwab Investment Management, Inc. and its affiliates are not responsible for subsequent alternative uses of this list beyond this instance."


